I0814 23:02:14.422851  490040 main.go:91] "Command line flag" add_dir_header="false"
I0814 23:02:14.422915  490040 main.go:91] "Command line flag" alsologtostderr="false"
I0814 23:02:14.422921  490040 main.go:91] "Command line flag" concurrency="4"
I0814 23:02:14.422926  490040 main.go:91] "Command line flag" espw-path="root:espw"
I0814 23:02:14.422929  490040 main.go:91] "Command line flag" inventory-cluster=""
I0814 23:02:14.422933  490040 main.go:91] "Command line flag" inventory-context="root"
I0814 23:02:14.422937  490040 main.go:91] "Command line flag" inventory-kubeconfig=""
I0814 23:02:14.422940  490040 main.go:91] "Command line flag" inventory-user=""
I0814 23:02:14.422945  490040 main.go:91] "Command line flag" log_backtrace_at=":0"
I0814 23:02:14.422949  490040 main.go:91] "Command line flag" log_dir=""
I0814 23:02:14.422952  490040 main.go:91] "Command line flag" log_file=""
I0814 23:02:14.422957  490040 main.go:91] "Command line flag" log_file_max_size="1800"
I0814 23:02:14.422960  490040 main.go:91] "Command line flag" logtostderr="true"
I0814 23:02:14.422964  490040 main.go:91] "Command line flag" mbws-cluster=""
I0814 23:02:14.422968  490040 main.go:91] "Command line flag" mbws-context="base"
I0814 23:02:14.422971  490040 main.go:91] "Command line flag" mbws-kubeconfig=""
I0814 23:02:14.422975  490040 main.go:91] "Command line flag" mbws-user=""
I0814 23:02:14.422979  490040 main.go:91] "Command line flag" one_output="false"
I0814 23:02:14.422999  490040 main.go:91] "Command line flag" server-bind-address=":10203"
I0814 23:02:14.423006  490040 main.go:91] "Command line flag" skip_headers="false"
I0814 23:02:14.423010  490040 main.go:91] "Command line flag" skip_log_headers="false"
I0814 23:02:14.423014  490040 main.go:91] "Command line flag" stderrthreshold="2"
I0814 23:02:14.423018  490040 main.go:91] "Command line flag" v="2"
I0814 23:02:14.423022  490040 main.go:91] "Command line flag" vmodule=""
I0814 23:02:14.423026  490040 main.go:91] "Command line flag" workload-cluster=""
I0814 23:02:14.423030  490040 main.go:91] "Command line flag" workload-context=""
I0814 23:02:14.423033  490040 main.go:91] "Command line flag" workload-kubeconfig=""
I0814 23:02:14.423037  490040 main.go:91] "Command line flag" workload-user=""
I0814 23:02:14.440957  490040 main.go:198] " ### export is ready, exportName: " edge.kubestellar.io="(MISSING)"
I0814 23:02:14.440979  490040 main.go:206] "Found APIExport view" exportName="edge.kubestellar.io" serverURL="https://10.0.2.15:6443/services/apiexport/310rkkl1jtooufgo/edge.kubestellar.io"
I0814 23:02:14.443036  490040 shared_informer.go:282] Waiting for caches to sync for mailbox-controller
W0814 23:02:14.450780  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:02:14.450860  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:02:16.009552  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:02:16.009591  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:02:18.678819  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:02:18.678863  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:02:23.283571  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:02:23.283608  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:02:32.406553  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:02:32.406650  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:02:54.001976  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:02:54.002011  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:03:21.290758  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:03:21.290792  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:03:55.991228  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:03:55.991266  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:04:28.906926  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:04:28.906961  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:05:07.941460  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:05:07.941496  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:05:53.401567  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:05:53.401604  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:06:47.815973  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:06:47.816026  490040 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:07:24.251500  490040 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
